iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,714328.3791165631,,annual,,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,722240.6048449186,,annual,,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,750447.4095585182,,annual,,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,730382.837135145,,annual,,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,740415.1233468318,,annual,,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,740345.1213497405,,annual,,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,748439.0,,annual,,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,747657.0,,annual,,
ABW,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,747657.0,,annual,,
ABW,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,749610.0,,annual,,
ABW,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,554606.0,,annual,,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,42971.0,,annual,,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,52148.0,,annual,,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,52017.0,,annual,,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,67728.0,,annual,,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,86628.0,,annual,,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,84287.0,,annual,,
AFG,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,64526.0,,annual,,
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,6637232.0,,annual,,
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,6798964.0,,annual,,
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4576817.0,,annual,,
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,3964458.0,,annual,,
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,4458222.0,,annual,,
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,4269965.0,,annual,,
AGO,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,4321027.0,,annual,,
AGO,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,4413192.0,,annual,,
AGO,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,4413192.0,,annual,,
AGO,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,4425747.0,,annual,,
AGO,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,3301923.0,,annual,,
AIA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,96401.0,,annual,,
AIA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,96401.0,,annual,,
AIA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,96138.0,,annual,,
AIA,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,96401.0,,annual,,
AIA,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,71906.0,,annual,,
ALA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,110714.0,,annual,,
AND,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,111018.0,,annual,,
AND,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,114598.0,,annual,,
AND,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,114598.0,,annual,,
AND,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,114598.0,,annual,,
AND,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,114912.0,,annual,,
AND,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,114598.0,,annual,,
AND,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,114598.0,,annual,,
AND,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,114598.0,,annual,,
AND,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,114912.0,,annual,,
AND,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,85713.0,,annual,,
ARE,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,85334354.0,,annual,,
ARE,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,86713395.0,,annual,,
ARE,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,89472325.0,,annual,,
ARE,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,90159217.0,,annual,,
ARE,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,90110907.0,,annual,,
ARE,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,87527838.0,,annual,,
ARE,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,88849380.0,,annual,,
ARE,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,85194681.0,,annual,,
ARE,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,80392659.0,,annual,,
ARE,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,82188680.0,,annual,,
ARE,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,63030425.0,,annual,,
ARG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,62319185.0,,annual,,
