iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,675.4185879091251,,annual,,
ABW,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,707.3122706559585,,annual,,
ABW,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,659.7457412727059,,annual,,
ABW,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,665.5195585596128,,annual,,
ABW,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,793.4348777172405,,annual,,
ABW,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,693.0972775484655,,annual,,
ABW,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,751.8217527106884,,annual,,
ABW,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,774.461141230377,,annual,,
ABW,power,other-energy-use,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,812.1496612746276,,annual,,
ABW,power,other-energy-use,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,812.1496612746278,,annual,,
ABW,power,other-energy-use,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,593.6015149241904,,annual,,
AFG,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2242960.263953411,,annual,,
AFG,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2214872.2582497555,,annual,,
AFG,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2345696.455975089,,annual,,
AFG,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2150093.442519041,,annual,,
AFG,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1941203.718443508,,annual,,
AFG,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1762487.0563314396,,annual,,
AFG,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1874897.8796339368,,annual,,
AFG,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1948635.4393924105,,annual,,
AFG,power,other-energy-use,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,2055767.908289421,,annual,,
AFG,power,other-energy-use,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,2055767.908289421,,annual,,
AFG,power,other-energy-use,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,1516799.1673855789,,annual,,
AGO,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,19706.80705372424,,annual,,
AGO,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,13273.72715617365,,annual,,
AGO,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,12847.353890782366,,annual,,
AGO,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,11439.0395899595,,annual,,
AGO,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,24383.39648434292,,annual,,
AGO,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,11270.173394960828,,annual,,
AGO,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,12815.845693706107,,annual,,
AGO,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,71332.24086842372,,annual,,
AGO,power,other-energy-use,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,146037.92440771722,,annual,,
AGO,power,other-energy-use,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,146037.92440771722,,annual,,
AGO,power,other-energy-use,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,107261.77572982208,,annual,,
AIA,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,3.0915554057769308,,annual,,
AIA,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,3.21348136673988,,annual,,
AIA,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,3.33647714823774,,annual,,
AIA,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,3.239913089955735,,annual,,
AIA,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,3.229660404829396,,annual,,
AIA,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2.70208499104182,,annual,,
AIA,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2.69193458596662,,annual,,
AIA,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,2.6612131306059004,,annual,,
AIA,power,other-energy-use,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,2.851909575954075,,annual,,
AIA,power,other-energy-use,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,2.8519095759540747,,annual,,
AIA,power,other-energy-use,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,2.0844653706513,,annual,,
ALA,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
